,amount,asset,date,signer,sender
33,0.004282,BTC,2021-12-20,A5pv9toVMjrz47QDtWWm9ib7DfZdczXAL3SoLXBkbgU7,A5pv9toVMjrz47QDtWWm9ib7DfZdczXAL3SoLXBkbgU7
34,3.01,BTC,2021-12-20,BNR9v15ey3uWaeZsNYGX5rDvRus9S8UL16hSgduEArFN,BNR9v15ey3uWaeZsNYGX5rDvRus9S8UL16hSgduEArFN
35,0.295256,BTC,2021-12-20,BRSh2ESDF26ncufZHXC2KbgPkskNAgDJEqiwFvt36rrt,BRSh2ESDF26ncufZHXC2KbgPkskNAgDJEqiwFvt36rrt
36,0.000215,BTC,2021-12-20,C7QRvvNsrF78SHAEjDXMTm6RUSmD7r15LRC4Pziz6g5,C7QRvvNsrF78SHAEjDXMTm6RUSmD7r15LRC4Pziz6g5
37,0.04,BTC,2021-12-20,Ds5ou5AvYPHipuhBhWxdoUmdfWC334wZvreRzEj6PPLH,Ds5ou5AvYPHipuhBhWxdoUmdfWC334wZvreRzEj6PPLH
38,0.007535,BTC,2021-12-20,EU3JbNTkhbH3CEPRjuDvbeJNrtaSp6MADiKTgP1AK8kv,EU3JbNTkhbH3CEPRjuDvbeJNrtaSp6MADiKTgP1AK8kv
39,0.227334,BTC,2021-12-20,EYwsJcCL99dLokoWwU1vAe3hLF5UE3bpcjju6Q48kocE,EYwsJcCL99dLokoWwU1vAe3hLF5UE3bpcjju6Q48kocE
40,0.000322,BTC,2021-12-20,F4rLiV3mzCL4hc3nsktzoRVVWqgngmKHHwAybjQZWtns,F4rLiV3mzCL4hc3nsktzoRVVWqgngmKHHwAybjQZWtns
41,0.000137,BTC,2021-12-20,GcXTyMkYAkEFijbvuJj85dsDYon6T9c6x77gpyrp5wPG,GcXTyMkYAkEFijbvuJj85dsDYon6T9c6x77gpyrp5wPG
42,0.002069,BTC,2021-12-20,PYHST6Vv3XwLxFF3rsnB1s7ERaRs2gETfwMqGsAKT8H,PYHST6Vv3XwLxFF3rsnB1s7ERaRs2gETfwMqGsAKT8H
43,1.004,BTC,2021-12-20,i5YVVrKM59GMW8q7XZPVSxKdy7QYpdnusTtJ6T4uoKn,i5YVVrKM59GMW8q7XZPVSxKdy7QYpdnusTtJ6T4uoKn
44,0.000831,BTC,2021-12-21,2fyVBNx9V7YT3HXP5BWgteS3X94Hc9Qw8mEXdv9F5P4T,2fyVBNx9V7YT3HXP5BWgteS3X94Hc9Qw8mEXdv9F5P4T
45,3.038525,BTC,2021-12-21,2qMk3Yez6F8KupLXH5j31bENj3f1J67TwrGEHAq3ShtT,2qMk3Yez6F8KupLXH5j31bENj3f1J67TwrGEHAq3ShtT
46,0.005612,BTC,2021-12-21,3Bx4H4WCEWth6XUJNjDx5Z7ZDsCus5nP5qzK8PMFp6hM,3Bx4H4WCEWth6XUJNjDx5Z7ZDsCus5nP5qzK8PMFp6hM
47,0.020255,BTC,2021-12-21,3RjECM2e6pvaAipMbkeAjGfdftnut5FXSbeENJQYUdvP,3RjECM2e6pvaAipMbkeAjGfdftnut5FXSbeENJQYUdvP
48,0.1188,BTC,2021-12-21,3WcDLH7EP4edsnWvGe9A7U6hQR8Fcr9EdqpUfp1RteRF,3WcDLH7EP4edsnWvGe9A7U6hQR8Fcr9EdqpUfp1RteRF
49,0.1,BTC,2021-12-21,3zeeQveGLPQRwPXpaJaYeWQnxGg7ptYETf1N7Ci6sbgN,3zeeQveGLPQRwPXpaJaYeWQnxGg7ptYETf1N7Ci6sbgN
50,0.000771,BTC,2021-12-21,43wwd6zLB8yKfXEu7rtbeDFhKBuxFR66MnyhTKW3zqa3,43wwd6zLB8yKfXEu7rtbeDFhKBuxFR66MnyhTKW3zqa3
51,0.6,BTC,2021-12-21,47aneUfT3EEzftZHXwPJswwNqcRQKie3g1F29mKdZoHb,47aneUfT3EEzftZHXwPJswwNqcRQKie3g1F29mKdZoHb
52,0.02,BTC,2021-12-21,5PFc4ho1uUbYKA7B3nHaLZJuh9SvBdzSMADTSpq8YZRU,5PFc4ho1uUbYKA7B3nHaLZJuh9SvBdzSMADTSpq8YZRU
53,0.01,BTC,2021-12-21,67pSy7b8H2gmaUAkfTH5h64tY9scptiCMCbDrNcvVokq,67pSy7b8H2gmaUAkfTH5h64tY9scptiCMCbDrNcvVokq
54,0.01,BTC,2021-12-21,6VHKRsV67Hx6zUWdQs8FVNFW7Qb2SBsEd6jqMRD5UVGf,6VHKRsV67Hx6zUWdQs8FVNFW7Qb2SBsEd6jqMRD5UVGf
55,0.199,BTC,2021-12-21,7qhHMUy9QGKx2oE2jyUXM28D61xs4LCDyfq8gPC85dCS,7qhHMUy9QGKx2oE2jyUXM28D61xs4LCDyfq8gPC85dCS
56,0.002129,BTC,2021-12-21,7vS5gHernUbN1HRQwRuFWdnUSAB1xvm7qz6TY5PYo3Vq,7vS5gHernUbN1HRQwRuFWdnUSAB1xvm7qz6TY5PYo3Vq
57,0.000746,BTC,2021-12-21,9BMHbUs4d3qX49fnroHv2FTPDs4yoDFrvDMqf8p9U4pE,9BMHbUs4d3qX49fnroHv2FTPDs4yoDFrvDMqf8p9U4pE
58,0.01,BTC,2021-12-21,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD
59,0.1,BTC,2021-12-21,9NeLuFdvNV2Ap8VBsyGu7ZiKrVPwMJCQFFRPZqAge88B,9NeLuFdvNV2Ap8VBsyGu7ZiKrVPwMJCQFFRPZqAge88B
60,0.158803,BTC,2021-12-21,9UXFmB2uSCFmaBQ2stnG44tvQHd1D6VVeRELmUfSKPJk,9UXFmB2uSCFmaBQ2stnG44tvQHd1D6VVeRELmUfSKPJk
61,0.000772,BTC,2021-12-21,9kYkFDNE3qD6s73fn8kJowgqbDZoDSw22XaUJ7rTD43D,9kYkFDNE3qD6s73fn8kJowgqbDZoDSw22XaUJ7rTD43D
62,0.500204,BTC,2021-12-21,9yGK7Rq9KmhnrKUNQwusKSS8YTmeWGk7kp7UU3B1pRoY,9yGK7Rq9KmhnrKUNQwusKSS8YTmeWGk7kp7UU3B1pRoY
63,0.014319,BTC,2021-12-21,AAupLHczt4pD25ZAYqXC4PKjmxd3E6rrSTxcmQWq8Uei,AAupLHczt4pD25ZAYqXC4PKjmxd3E6rrSTxcmQWq8Uei
64,2.892323,BTC,2021-12-21,BVykpLYZy9GigxJBEgMQ5ZeXciEEu793EvieBXCYV9sE,BVykpLYZy9GigxJBEgMQ5ZeXciEEu793EvieBXCYV9sE
65,1.0,BTC,2021-12-21,CEwxLkhpjR33UiEXMsoKs4JgM8ZYH23Qcu5YUeegiYDQ,CEwxLkhpjR33UiEXMsoKs4JgM8ZYH23Qcu5YUeegiYDQ
66,0.016904,BTC,2021-12-21,Cokdcvr1q3xZu6xGBZ4s4Yuh6YSGH4WtfE3yab7PQVB1,Cokdcvr1q3xZu6xGBZ4s4Yuh6YSGH4WtfE3yab7PQVB1
67,0.001139,BTC,2021-12-21,DBAMcasPmgSrStwH82DhVSKaWZrsjUR3nz6M3vc13aCs,DBAMcasPmgSrStwH82DhVSKaWZrsjUR3nz6M3vc13aCs
68,0.000772,BTC,2021-12-21,DD1a8rMoUCwmEiLKRN43VpdqL8Qgfr5yi92ejQxDVRMo,DD1a8rMoUCwmEiLKRN43VpdqL8Qgfr5yi92ejQxDVRMo
69,0.000766,BTC,2021-12-21,E8iuHK2DErFnMAYfWmNoix4jVb4WDG8Sc41hBycLUxbd,E8iuHK2DErFnMAYfWmNoix4jVb4WDG8Sc41hBycLUxbd
70,0.67,BTC,2021-12-21,E9gLCiNRBhrkdQXPMAESifUehEz7cfjzTemiFLEjQXDk,E9gLCiNRBhrkdQXPMAESifUehEz7cfjzTemiFLEjQXDk
71,0.479921,BTC,2021-12-21,FBK68ee9NTjnwC1oAay9CQbPKEQeoeycjK4RNwkjzGk3,FBK68ee9NTjnwC1oAay9CQbPKEQeoeycjK4RNwkjzGk3
72,0.0105,BTC,2021-12-21,FadaK6wV2rjnfjWkExSPL2eBS4gqueYvPMv4kaFCwUFC,FadaK6wV2rjnfjWkExSPL2eBS4gqueYvPMv4kaFCwUFC
73,0.9987,BTC,2021-12-21,FwpCPTbMJ8CXFLor7vp6KftM1y2M7FqvyKJu5Z1zufRE,FwpCPTbMJ8CXFLor7vp6KftM1y2M7FqvyKJu5Z1zufRE
74,0.036018,BTC,2021-12-21,GPXiHb4tKGX9zntTmcLipujndnN8ZB6bVSHjLHagMbyc,GPXiHb4tKGX9zntTmcLipujndnN8ZB6bVSHjLHagMbyc
75,0.000825,BTC,2021-12-21,GcjcaWoMUcGkLaJBx3svxtzwGNn5SLcFrwaLqnpadUZY,GcjcaWoMUcGkLaJBx3svxtzwGNn5SLcFrwaLqnpadUZY
76,0.003,BTC,2021-12-21,JPCGQkpbsrZdzWhgN8b8pYeHf9x3iTPZkMuX9oPBhHQ,JPCGQkpbsrZdzWhgN8b8pYeHf9x3iTPZkMuX9oPBhHQ
77,0.000456,BTC,2021-12-21,Qrw6y2DiogvivGah9Dj9BuDu8Cr7qxCRUEh63Z1dmpv,Qrw6y2DiogvivGah9Dj9BuDu8Cr7qxCRUEh63Z1dmpv
78,0.008187,BTC,2021-12-21,ZpHC9bMWDrrC9scptszdp7Vvzi5UXp3yPDLSzUFhwio,ZpHC9bMWDrrC9scptszdp7Vvzi5UXp3yPDLSzUFhwio
79,0.1338,BTC,2021-12-22,3Bx4H4WCEWth6XUJNjDx5Z7ZDsCus5nP5qzK8PMFp6hM,3Bx4H4WCEWth6XUJNjDx5Z7ZDsCus5nP5qzK8PMFp6hM
80,0.151721,BTC,2021-12-22,429iUuqerUmGpBhocD8C1i2EQkMU7dTJFexXNVQ5AEZC,429iUuqerUmGpBhocD8C1i2EQkMU7dTJFexXNVQ5AEZC
81,0.001,BTC,2021-12-22,469eWZ9CZjgvPqVn3Ho2MPzWQzS5gLEMNzQFFsPx9Q6F,469eWZ9CZjgvPqVn3Ho2MPzWQzS5gLEMNzQFFsPx9Q6F
82,0.001,BTC,2021-12-22,5CNuTwL8YmCpDfPudqL1tkHWajptusmPsHjBxFgS9sRi,5CNuTwL8YmCpDfPudqL1tkHWajptusmPsHjBxFgS9sRi
83,1.0,BTC,2021-12-22,5GHMPskpm21G3efYZRoHrCgYZKNTSkMMBVY3vne7PUQm,5GHMPskpm21G3efYZRoHrCgYZKNTSkMMBVY3vne7PUQm
84,0.001999,BTC,2021-12-22,6Ei7pRkqS5KPP77MrrE2pdNBEAyz5WpsSjYiJYKtR2Wq,6Ei7pRkqS5KPP77MrrE2pdNBEAyz5WpsSjYiJYKtR2Wq
85,0.00119,BTC,2021-12-22,6Xt54VPqnsUdHUtGxh19VVmqrkncadpsnd6iYZoXmuL4,6Xt54VPqnsUdHUtGxh19VVmqrkncadpsnd6iYZoXmuL4
86,0.020301,BTC,2021-12-22,6a8bhq5VLShaTFadmH2YmsDeqLe2QyAEQyCcqQ85Fekw,6a8bhq5VLShaTFadmH2YmsDeqLe2QyAEQyCcqQ85Fekw
87,0.153818,BTC,2021-12-22,9NeLuFdvNV2Ap8VBsyGu7ZiKrVPwMJCQFFRPZqAge88B,9NeLuFdvNV2Ap8VBsyGu7ZiKrVPwMJCQFFRPZqAge88B
88,0.003847,BTC,2021-12-22,9kjJN6JLFD95VFaa7dGY2eyUzM8GCVGqSDg4fpo6PhKX,9kjJN6JLFD95VFaa7dGY2eyUzM8GCVGqSDg4fpo6PhKX
89,0.13,BTC,2021-12-22,AmcyLcNJjREKVXJb2t6D4MKVx4Vqd387bErLjdzT9dW6,AmcyLcNJjREKVXJb2t6D4MKVx4Vqd387bErLjdzT9dW6
90,0.009999,BTC,2021-12-22,BuhEYpvrWV1y18jZoY8Hgfyf2pj3nqYXvmPefvBVzk41,BuhEYpvrWV1y18jZoY8Hgfyf2pj3nqYXvmPefvBVzk41
91,0.028126,BTC,2021-12-22,CHgUKQK4MYts7vCBtt9x4nvEkiVc9jGL4kUAo38qZM75,CHgUKQK4MYts7vCBtt9x4nvEkiVc9jGL4kUAo38qZM75
92,0.201564,BTC,2021-12-22,CUC4b5UEUN8umNF68Xrb3SXB38itqMA8mfH8QDeFqS1D,CUC4b5UEUN8umNF68Xrb3SXB38itqMA8mfH8QDeFqS1D
93,0.0085,BTC,2021-12-22,DFhvkpq3vVKAPtpTZ4QHFrZugc9Ksg72xFVmJ54TLcbZ,DFhvkpq3vVKAPtpTZ4QHFrZugc9Ksg72xFVmJ54TLcbZ
94,0.02,BTC,2021-12-22,Dv8eDMkM4mGUg87Uwku9jh5PdeckKEqGhTRDQhfifhHC,Dv8eDMkM4mGUg87Uwku9jh5PdeckKEqGhTRDQhfifhHC
95,0.124755,BTC,2021-12-22,EYwsJcCL99dLokoWwU1vAe3hLF5UE3bpcjju6Q48kocE,EYwsJcCL99dLokoWwU1vAe3hLF5UE3bpcjju6Q48kocE
96,0.03,BTC,2021-12-22,ErELM9mHHE39b8yEbm8r7jWSZtmGheHA2gNjFPjNAWT8,ErELM9mHHE39b8yEbm8r7jWSZtmGheHA2gNjFPjNAWT8
97,0.005026,BTC,2021-12-22,F2mjoySJq4ALvMV6TB2eWmpJXEm2BGjTSxksEzVWPR6G,F2mjoySJq4ALvMV6TB2eWmpJXEm2BGjTSxksEzVWPR6G
98,0.005406,BTC,2021-12-22,GJ5vze6xdSA4Hgf58M7fuJTDLV2wwcqoT9nWmYHMu1Po,GJ5vze6xdSA4Hgf58M7fuJTDLV2wwcqoT9nWmYHMu1Po
99,0.017701,BTC,2021-12-22,GNmr8LvrKqddAXVkvtVv69RkroqjrFQdnfAT5wG9GZUk,GNmr8LvrKqddAXVkvtVv69RkroqjrFQdnfAT5wG9GZUk
100,1.0,BTC,2021-12-22,GoULoW4qHhAxDdEZWxfAiPgj41ZjTBZqx7ooaydQTzqj,GoULoW4qHhAxDdEZWxfAiPgj41ZjTBZqx7ooaydQTzqj
101,1.1e-05,BTC,2021-12-22,HTY4hxbL9PrtaUTZHiEGBezBPq5DDUqsUR6EWbNKtsJf,HTY4hxbL9PrtaUTZHiEGBezBPq5DDUqsUR6EWbNKtsJf
102,0.075586,BTC,2021-12-23,24CoH2cYsEPv3EpigCUjsqs26n1XeDrtHug4kwX7UZGD,24CoH2cYsEPv3EpigCUjsqs26n1XeDrtHug4kwX7UZGD
103,0.033105,BTC,2021-12-23,2Wn6yNHBAhVpq6bdR72E3Sg4sf8RXCid9r2MRbT4qDXG,2Wn6yNHBAhVpq6bdR72E3Sg4sf8RXCid9r2MRbT4qDXG
104,0.0005,BTC,2021-12-23,3tNt6fwbpxjZ5g1nRZx1SBquCGvp73tC1USjUAs1wnTR,3tNt6fwbpxjZ5g1nRZx1SBquCGvp73tC1USjUAs1wnTR
105,0.001571,BTC,2021-12-23,4QSTbJGGELsGXZyxaRP2AKeK1L8pWXMRsDVt8ocDfAqP,4QSTbJGGELsGXZyxaRP2AKeK1L8pWXMRsDVt8ocDfAqP
106,0.015,BTC,2021-12-23,5PFc4ho1uUbYKA7B3nHaLZJuh9SvBdzSMADTSpq8YZRU,5PFc4ho1uUbYKA7B3nHaLZJuh9SvBdzSMADTSpq8YZRU
107,0.128511,BTC,2021-12-23,5cavExSNQDCuA533BADVr5VuSM1kzfgBfjq41sy4THUJ,5cavExSNQDCuA533BADVr5VuSM1kzfgBfjq41sy4THUJ
108,0.058374,BTC,2021-12-23,7VxEFziAx7xoYNe5Gyatv7pZd7V5TgcdWhVF4Y7Qq5o,7VxEFziAx7xoYNe5Gyatv7pZd7V5TgcdWhVF4Y7Qq5o
109,0.05,BTC,2021-12-23,8LXpW8fPk757j5zMGnkLYFaPP46MrmtnG5H8W3LcsbNh,8LXpW8fPk757j5zMGnkLYFaPP46MrmtnG5H8W3LcsbNh
110,0.0105,BTC,2021-12-23,8d2TDEJLPvYXZWb1oBMZyArQQqjmmKuicFtDDgXuUEe6,8d2TDEJLPvYXZWb1oBMZyArQQqjmmKuicFtDDgXuUEe6
111,0.114691,BTC,2021-12-23,8piNXEkHzmjzSNUUKZ9ErrTkE9WtoUDZ7vFbUszqF92S,8piNXEkHzmjzSNUUKZ9ErrTkE9WtoUDZ7vFbUszqF92S
112,0.001801,BTC,2021-12-23,9Xj1w3kmQe2WS7CY2FbyuMZ9uYKgGc9hY9gCkSgzbUsr,9Xj1w3kmQe2WS7CY2FbyuMZ9uYKgGc9hY9gCkSgzbUsr
113,0.1,BTC,2021-12-23,ByF4jREsubj5KFpZQ7PCs71Cb3XvrhwDqGSuQ4wAX9cd,ByF4jREsubj5KFpZQ7PCs71Cb3XvrhwDqGSuQ4wAX9cd
114,0.198107,BTC,2021-12-23,CUC4b5UEUN8umNF68Xrb3SXB38itqMA8mfH8QDeFqS1D,CUC4b5UEUN8umNF68Xrb3SXB38itqMA8mfH8QDeFqS1D
115,0.025,BTC,2021-12-23,CsjnSQEpmt8T8KJRCkESi4yNdnvCucx8hgKn44eYSaUU,CsjnSQEpmt8T8KJRCkESi4yNdnvCucx8hgKn44eYSaUU
116,1.0,BTC,2021-12-23,ETVsvHosA6v6eN8Bj6fAFb2zqNgUu8zob1ePT7bcXtF1,ETVsvHosA6v6eN8Bj6fAFb2zqNgUu8zob1ePT7bcXtF1
117,0.007529,BTC,2021-12-23,H7fDKPjDJkqp2h9j3NyoQd2Ft5LnnTSYi95ZchxrYg5u,H7fDKPjDJkqp2h9j3NyoQd2Ft5LnnTSYi95ZchxrYg5u
118,0.000324,BTC,2021-12-23,HZMVjBUVeTQP6e1jMzcJZ9bCfe5XUr2RjdW9AY7pGzZc,HZMVjBUVeTQP6e1jMzcJZ9bCfe5XUr2RjdW9AY7pGzZc
119,5.0,BTC,2021-12-23,eLNe9RHsuAMgxtWkyaBQBkY7t1ckLs9FsGvjfEY1JWy,eLNe9RHsuAMgxtWkyaBQBkY7t1ckLs9FsGvjfEY1JWy
120,100.12708,BTC,2021-12-24,3N2cbALi6qQ2E33cRMrfC783WxAZFECtTXJoRwaSzcjD,3N2cbALi6qQ2E33cRMrfC783WxAZFECtTXJoRwaSzcjD
121,0.200002,BTC,2021-12-24,44Hv71rBRbNhpq4htb3GoaaLzrHr6rUAnwmMVWvo9v2G,44Hv71rBRbNhpq4htb3GoaaLzrHr6rUAnwmMVWvo9v2G
122,0.02,BTC,2021-12-24,4S35XSu9JGSoy47LBBqcgnE3ZB4XdfmvQhTgwssRkZkR,4S35XSu9JGSoy47LBBqcgnE3ZB4XdfmvQhTgwssRkZkR
123,0.673622,BTC,2021-12-24,531euoNtZMvciBcKPBvYgFJoWnUvtu4PjasDhbTTXTGG,531euoNtZMvciBcKPBvYgFJoWnUvtu4PjasDhbTTXTGG
124,0.00371,BTC,2021-12-24,5CNuTwL8YmCpDfPudqL1tkHWajptusmPsHjBxFgS9sRi,5CNuTwL8YmCpDfPudqL1tkHWajptusmPsHjBxFgS9sRi
125,0.000705,BTC,2021-12-24,5HRdzXsEd9wT1UueqEAtGaBmjHBzqw6rcQr1yCrR58ap,5HRdzXsEd9wT1UueqEAtGaBmjHBzqw6rcQr1yCrR58ap
126,0.88032,BTC,2021-12-24,5g4pvtyMrT8LeUYguHMjfvyQRHGrFXxEFfUvqbUkCrHR,5g4pvtyMrT8LeUYguHMjfvyQRHGrFXxEFfUvqbUkCrHR
127,0.034772,BTC,2021-12-24,7WCEUck5xmRLKrq1PrvQWxNNNafrsbbNv1dABns83RtZ,7WCEUck5xmRLKrq1PrvQWxNNNafrsbbNv1dABns83RtZ
128,0.0001,BTC,2021-12-24,AS7RTJSXkD9xGUHw6vqCzaeBLvFDHWoFQqMBKxWiH83G,AS7RTJSXkD9xGUHw6vqCzaeBLvFDHWoFQqMBKxWiH83G
129,0.413149,BTC,2021-12-24,CcpaQVQPuBEMY2gWRYENhtKrVXcoY54czUWvQGeXUW1P,CcpaQVQPuBEMY2gWRYENhtKrVXcoY54czUWvQGeXUW1P
130,0.0394,BTC,2021-12-24,DoEQbmrCH1NRL4KvzGMdeqG8Qcoo32vPKvAv2H3ZgiGS,DoEQbmrCH1NRL4KvzGMdeqG8Qcoo32vPKvAv2H3ZgiGS
131,0.005128,BTC,2021-12-24,FRAQs8rq9bHuSge9UmsGGHpJ79PSwB9wfzBFbw2Yv6yk,FRAQs8rq9bHuSge9UmsGGHpJ79PSwB9wfzBFbw2Yv6yk
132,1.0,BTC,2021-12-24,FRcfhfbffT6qyHwQRWAJAK2PoiEQS9AEgURtXrbYexUB,FRcfhfbffT6qyHwQRWAJAK2PoiEQS9AEgURtXrbYexUB
133,0.00485,BTC,2021-12-24,GTsjnDsvZEKVZHDQmXtfLEHbss3f8dtBMXNbC3arMB5X,GTsjnDsvZEKVZHDQmXtfLEHbss3f8dtBMXNbC3arMB5X
134,0.0562,BTC,2021-12-24,Gxry8fnR7jirCWvGTVAj4zYTCsrhLu6Eb3dWkYrAQTAz,Gxry8fnR7jirCWvGTVAj4zYTCsrhLu6Eb3dWkYrAQTAz
