,asset,date,count
136,ETH,2022-02-05,5
137,ETH,2022-02-06,4
138,ETH,2022-02-07,4
139,ETH,2022-02-08,1
140,ETH,2022-02-10,2
141,ETH,2022-02-11,3
142,ETH,2022-02-12,3
143,ETH,2022-02-13,1
144,ETH,2022-02-14,6
145,ETH,2022-02-15,6
146,ETH,2022-02-16,4
147,ETH,2022-02-17,5
148,ETH,2022-02-18,5
149,ETH,2022-02-19,6
150,ETH,2022-02-20,5
151,ETH,2022-02-21,1
152,ETH,2022-02-22,3
153,ETH,2022-02-23,2
154,ETH,2022-02-24,4
155,ETH,2022-02-25,1
156,ETH,2022-02-26,4
157,ETH,2022-02-27,3
158,ETH,2022-02-28,2
159,ETH,2022-03-02,3
160,ETH,2022-03-03,2
161,ETH,2022-03-04,5
162,ETH,2022-03-05,2
163,ETH,2022-03-06,3
164,ETH,2022-03-07,5
165,ETH,2022-03-08,2
166,ETH,2022-03-09,3
167,ETH,2022-03-10,4
168,ETH,2022-03-11,4
169,ETH,2022-03-12,1
170,ETH,2022-03-13,2
171,ETH,2022-03-14,2
172,FTT,2021-12-24,18
173,FTT,2021-12-25,20
174,FTT,2021-12-26,13
175,FTT,2021-12-27,13
176,FTT,2021-12-28,10
177,FTT,2021-12-29,9
178,FTT,2021-12-30,12
179,FTT,2021-12-31,44
180,FTT,2022-01-01,29
181,FTT,2022-01-02,23
182,FTT,2022-01-03,34
183,FTT,2022-01-04,32
184,FTT,2022-01-05,21
185,FTT,2022-01-06,9
186,FTT,2022-01-07,17
187,FTT,2022-01-08,7
188,FTT,2022-01-09,10
189,FTT,2022-01-10,11
190,FTT,2022-01-11,9
191,FTT,2022-01-12,8
192,FTT,2022-01-13,13
193,FTT,2022-01-14,30
194,FTT,2022-01-15,10
195,FTT,2022-01-16,11
196,FTT,2022-01-17,15
197,FTT,2022-01-18,15
198,FTT,2022-01-19,11
199,FTT,2022-01-20,9
200,FTT,2022-01-21,11
201,FTT,2022-01-22,5
202,FTT,2022-01-23,5
203,FTT,2022-01-24,5
204,FTT,2022-01-25,13
205,FTT,2022-01-26,9
206,FTT,2022-01-27,6
207,FTT,2022-01-28,9
208,FTT,2022-01-29,3
209,FTT,2022-01-30,2
210,FTT,2022-01-31,6
211,FTT,2022-02-01,24
212,FTT,2022-02-02,64
213,FTT,2022-02-03,87
214,FTT,2022-02-04,26
215,FTT,2022-02-05,6
216,FTT,2022-02-06,4
217,FTT,2022-02-07,6
218,FTT,2022-02-08,3
219,FTT,2022-02-09,6
220,FTT,2022-02-10,7
221,FTT,2022-02-11,6
222,FTT,2022-02-12,5
223,FTT,2022-02-13,7
224,FTT,2022-02-14,4
225,FTT,2022-02-15,5
226,FTT,2022-02-16,5
227,FTT,2022-02-17,2
228,FTT,2022-02-18,9
229,FTT,2022-02-19,5
230,FTT,2022-02-22,6
231,FTT,2022-02-24,3
232,FTT,2022-02-25,6
233,FTT,2022-02-26,2
234,FTT,2022-02-27,2
235,FTT,2022-02-28,1
236,FTT,2022-03-02,2
237,FTT,2022-03-03,6
238,FTT,2022-03-04,4
239,FTT,2022-03-05,4
240,FTT,2022-03-06,20
241,FTT,2022-03-07,9
242,FTT,2022-03-08,3
243,FTT,2022-03-09,5
244,FTT,2022-03-10,5
245,FTT,2022-03-11,3
246,FTT,2022-03-13,2
247,FTT,2022-03-14,3
248,LUNA,2021-12-30,41
249,LUNA,2021-12-31,13
250,LUNA,2022-01-01,2
251,LUNA,2022-01-02,11
252,LUNA,2022-01-03,55
253,LUNA,2022-01-04,35
254,LUNA,2022-01-05,48
255,LUNA,2022-01-06,69
256,LUNA,2022-01-07,23
257,LUNA,2022-01-08,1
258,LUNA,2022-01-10,37
259,LUNA,2022-01-11,68
260,LUNA,2022-01-12,21
261,LUNA,2022-01-13,77
262,LUNA,2022-01-14,74
263,LUNA,2022-01-15,40
264,LUNA,2022-01-16,64
265,LUNA,2022-01-17,39
266,LUNA,2022-01-18,48
267,LUNA,2022-01-19,45
268,LUNA,2022-01-20,47
269,LUNA,2022-01-21,42
270,LUNA,2022-01-22,19
271,LUNA,2022-01-23,31
272,LUNA,2022-01-24,28
273,LUNA,2022-01-25,25
274,LUNA,2022-01-26,27
275,LUNA,2022-01-27,31
276,LUNA,2022-01-28,61
277,LUNA,2022-01-29,21
278,LUNA,2022-01-30,29
279,LUNA,2022-01-31,22
280,LUNA,2022-02-01,21
281,LUNA,2022-02-02,17
282,LUNA,2022-02-03,27
283,LUNA,2022-02-04,29
284,LUNA,2022-02-05,18
285,LUNA,2022-02-06,13
286,LUNA,2022-02-07,13
287,LUNA,2022-02-08,18
288,LUNA,2022-02-09,14
289,LUNA,2022-02-10,21
290,LUNA,2022-02-11,20
291,LUNA,2022-02-12,8
292,LUNA,2022-02-13,16
293,LUNA,2022-02-14,11
294,LUNA,2022-02-15,12
295,LUNA,2022-02-16,10
296,LUNA,2022-02-17,26
297,LUNA,2022-02-18,31
298,LUNA,2022-02-19,17
299,LUNA,2022-02-20,9
300,LUNA,2022-02-21,7
301,LUNA,2022-02-22,13
302,LUNA,2022-02-23,11
303,LUNA,2022-02-24,17
304,LUNA,2022-02-25,9
305,LUNA,2022-02-26,10
306,LUNA,2022-02-27,3
307,LUNA,2022-02-28,5
308,LUNA,2022-03-01,5
309,LUNA,2022-03-02,7
310,LUNA,2022-03-03,15
311,LUNA,2022-03-04,10
312,LUNA,2022-03-05,7
313,LUNA,2022-03-06,8
314,LUNA,2022-03-07,7
315,LUNA,2022-03-08,4
316,LUNA,2022-03-09,3
317,LUNA,2022-03-10,9
318,LUNA,2022-03-11,7
319,LUNA,2022-03-12,6
320,LUNA,2022-03-13,2
321,LUNA,2022-03-14,4
322,LUNA,2022-03-15,2
323,MNGO,2021-12-25,26
324,MNGO,2021-12-26,17
325,MNGO,2021-12-27,19
326,MNGO,2021-12-28,13
327,MNGO,2021-12-29,12
328,MNGO,2021-12-30,22
329,MNGO,2021-12-31,25
330,MNGO,2022-01-01,18
331,MNGO,2022-01-02,6
332,MNGO,2022-01-03,8
333,MNGO,2022-01-05,1
334,MNGO,2022-01-07,8
335,MNGO,2022-01-08,1
336,MNGO,2022-01-12,1
337,MNGO,2022-01-13,29
338,MNGO,2022-01-14,19
339,MNGO,2022-01-15,8
340,MNGO,2022-01-16,7
341,MNGO,2022-01-17,11
342,MNGO,2022-01-18,3
343,MNGO,2022-01-19,9
344,MNGO,2022-01-20,7
345,MNGO,2022-01-21,9
346,MNGO,2022-01-22,3
347,MNGO,2022-01-23,6
348,MNGO,2022-01-24,5
349,MNGO,2022-01-25,4
350,MNGO,2022-01-26,1
351,MNGO,2022-01-27,3
352,MNGO,2022-01-28,4
353,MNGO,2022-01-29,3
354,MNGO,2022-01-30,2
355,MNGO,2022-01-31,3
356,MNGO,2022-02-01,3
357,MNGO,2022-02-02,2
358,MNGO,2022-02-03,4
359,MNGO,2022-02-04,2
360,MNGO,2022-02-05,4
361,MNGO,2022-02-06,4
362,MNGO,2022-02-07,4
363,MNGO,2022-02-08,1
364,MNGO,2022-02-09,4
365,MNGO,2022-02-10,5
366,MNGO,2022-02-11,4
367,MNGO,2022-02-12,4
368,MNGO,2022-02-13,3
369,MNGO,2022-02-14,3
370,MNGO,2022-02-15,3
371,MNGO,2022-02-16,2
372,MNGO,2022-02-17,1
373,MNGO,2022-02-18,2
374,MNGO,2022-02-19,2
375,MNGO,2022-02-21,1
376,MNGO,2022-02-24,1
377,MNGO,2022-02-25,1
378,MNGO,2022-02-27,1
379,MNGO,2022-02-28,1
380,MNGO,2022-03-01,1
381,MNGO,2022-03-02,2
382,MNGO,2022-03-05,1
383,MNGO,2022-03-06,6
384,MNGO,2022-03-07,1
385,MNGO,2022-03-08,1
386,MNGO,2022-03-11,1
387,MNGO,2022-03-12,1
388,MNGO,2022-03-13,2
389,MNGO,2022-03-14,1
390,MNGO,2022-03-15,1
391,RAY,2022-01-03,19
392,RAY,2022-01-04,20
393,RAY,2022-01-05,6
394,RAY,2022-01-06,8
395,RAY,2022-01-07,4
396,RAY,2022-01-09,1
397,RAY,2022-01-10,2
398,RAY,2022-01-11,6
399,RAY,2022-01-13,3
400,RAY,2022-01-14,2
401,RAY,2022-01-15,15
402,RAY,2022-01-16,8
403,RAY,2022-01-17,16
404,RAY,2022-01-18,9
405,RAY,2022-01-19,6
406,RAY,2022-01-20,8
407,RAY,2022-01-21,10
408,RAY,2022-01-22,3
409,RAY,2022-01-23,4
410,RAY,2022-01-24,10
411,RAY,2022-01-25,9
412,RAY,2022-01-26,9
413,RAY,2022-01-27,7
414,RAY,2022-01-28,4
415,RAY,2022-01-29,9
416,RAY,2022-01-30,8
417,RAY,2022-01-31,6
418,RAY,2022-02-01,8
419,RAY,2022-02-02,6
420,RAY,2022-02-03,3
421,RAY,2022-02-04,5
422,RAY,2022-02-06,2
423,RAY,2022-02-07,4
424,RAY,2022-02-08,3
425,RAY,2022-02-09,3
426,RAY,2022-02-10,7
427,RAY,2022-02-11,2
428,RAY,2022-02-12,3
429,RAY,2022-02-13,4
430,RAY,2022-02-14,4
431,RAY,2022-02-15,3
432,RAY,2022-02-16,7
433,RAY,2022-02-17,9
434,RAY,2022-02-18,6
435,RAY,2022-02-19,4
436,RAY,2022-02-20,6
437,RAY,2022-02-21,2
438,RAY,2022-02-22,2
439,RAY,2022-02-23,4
440,RAY,2022-02-24,2
441,RAY,2022-02-25,7
442,RAY,2022-02-26,3
443,RAY,2022-02-27,3
444,RAY,2022-02-28,2
445,RAY,2022-03-01,5
446,RAY,2022-03-02,4
447,RAY,2022-03-03,6
448,RAY,2022-03-04,6
449,RAY,2022-03-05,1
450,RAY,2022-03-06,3
451,RAY,2022-03-07,1
452,RAY,2022-03-08,1
453,RAY,2022-03-09,4
454,RAY,2022-03-10,2
455,RAY,2022-03-11,2
456,RAY,2022-03-12,2
457,RAY,2022-03-13,1
458,RAY,2022-03-15,1
459,SBR,2021-12-30,213
460,SBR,2021-12-31,2
461,SBR,2022-01-13,114
462,SBR,2022-01-14,118
463,SBR,2022-01-15,13
464,SBR,2022-01-17,1
465,SBR,2022-01-18,2
466,SBR,2022-01-19,1
467,SBR,2022-01-21,51
468,SBR,2022-01-22,36
469,SBR,2022-01-23,34
470,SBR,2022-01-24,36
471,SBR,2022-01-25,10
472,SBR,2022-01-26,3
473,SBR,2022-01-27,2
474,SBR,2022-01-28,53
475,SBR,2022-01-29,33
476,SBR,2022-01-30,26
477,SBR,2022-01-31,23
478,SBR,2022-02-01,19
479,SBR,2022-02-02,3
480,SBR,2022-02-03,23
481,SBR,2022-02-04,24
482,SBR,2022-02-05,8
483,SBR,2022-02-06,17
484,SBR,2022-02-07,6
485,SBR,2022-02-08,6
486,SBR,2022-02-09,3
487,SBR,2022-02-10,2
488,SBR,2022-02-11,30
489,SBR,2022-02-12,15
490,SBR,2022-02-18,19
491,SBR,2022-02-19,10
492,SBR,2022-02-20,8
493,SBR,2022-02-21,10
494,SBR,2022-02-22,6
495,SBR,2022-02-23,9
496,SBR,2022-02-24,6
497,SBR,2022-02-25,13
498,SBR,2022-02-26,10
499,SBR,2022-02-27,6
500,SBR,2022-02-28,7
501,SBR,2022-03-03,3
502,SBR,2022-03-04,7
503,SBR,2022-03-05,2
504,SBR,2022-03-06,6
505,SBR,2022-03-07,6
506,SBR,2022-03-08,4
507,SBR,2022-03-09,4
508,SBR,2022-03-10,3
509,SBR,2022-03-11,3
510,SBR,2022-03-12,1
511,SBR,2022-03-15,1
512,SOL,2021-12-16,1
513,SOL,2021-12-17,8
514,SOL,2021-12-18,27
515,SOL,2021-12-19,113
516,SOL,2021-12-20,534
517,SOL,2021-12-21,657
518,SOL,2021-12-22,355
519,SOL,2021-12-23,312
520,SOL,2021-12-24,182
521,SOL,2021-12-25,144
522,SOL,2021-12-26,176
523,SOL,2021-12-27,462
524,SOL,2021-12-28,76
525,SOL,2021-12-29,2
526,SOL,2021-12-30,1
527,SOL,2021-12-31,81
528,SOL,2022-01-01,8
529,SOL,2022-01-02,26
530,SOL,2022-01-03,402
531,SOL,2022-01-04,300
532,SOL,2022-01-05,200
533,SOL,2022-01-06,174
534,SOL,2022-01-07,161
535,SOL,2022-01-08,134
536,SOL,2022-01-09,184
537,SOL,2022-01-10,202
538,SOL,2022-01-11,250
539,SOL,2022-01-12,326
540,SOL,2022-01-13,332
541,SOL,2022-01-14,333
542,SOL,2022-01-15,290
543,SOL,2022-01-16,432
544,SOL,2022-01-17,494
545,SOL,2022-01-18,332
546,SOL,2022-01-19,286
547,SOL,2022-01-20,284
548,SOL,2022-01-21,297
549,SOL,2022-01-22,105
550,SOL,2022-01-23,138
551,SOL,2022-01-24,202
552,SOL,2022-01-25,302
553,SOL,2022-01-26,200
554,SOL,2022-01-27,242
555,SOL,2022-01-28,355
556,SOL,2022-01-29,224
557,SOL,2022-01-30,230
558,SOL,2022-01-31,226
559,SOL,2022-02-01,180
560,SOL,2022-02-02,242
561,SOL,2022-02-03,238
562,SOL,2022-02-04,211
563,SOL,2022-02-05,140
564,SOL,2022-02-06,215
565,SOL,2022-02-07,150
566,SOL,2022-02-08,103
567,SOL,2022-02-09,85
568,SOL,2022-02-10,79
569,SOL,2022-02-11,88
570,SOL,2022-02-12,38
571,SOL,2022-02-13,76
572,SOL,2022-02-14,120
573,SOL,2022-02-15,38
574,SOL,2022-02-16,46
575,SOL,2022-02-17,60
576,SOL,2022-02-18,99
577,SOL,2022-02-19,50
578,SOL,2022-02-20,28
579,SOL,2022-02-21,41
580,SOL,2022-02-22,35
581,SOL,2022-02-23,35
582,SOL,2022-02-24,41
583,SOL,2022-02-25,39
584,SOL,2022-02-26,31
585,SOL,2022-02-27,21
586,SOL,2022-02-28,36
587,SOL,2022-03-01,41
588,SOL,2022-03-02,34
589,SOL,2022-03-03,40
590,SOL,2022-03-04,32
591,SOL,2022-03-05,21
592,SOL,2022-03-06,47
593,SOL,2022-03-07,25
594,SOL,2022-03-08,22
595,SOL,2022-03-09,25
596,SOL,2022-03-10,20
597,SOL,2022-03-11,23
598,SOL,2022-03-12,11
599,SOL,2022-03-13,5
600,SOL,2022-03-14,20
601,SOL,2022-03-15,13
602,SRM,2021-12-24,20
603,SRM,2021-12-25,17
604,SRM,2021-12-26,22
605,SRM,2021-12-27,17
606,SRM,2021-12-28,19
607,SRM,2021-12-29,20
608,SRM,2021-12-30,37
609,SRM,2021-12-31,23
610,SRM,2022-01-01,23
611,SRM,2022-01-02,16
612,SRM,2022-01-03,24
613,SRM,2022-01-04,20
614,SRM,2022-01-05,23
615,SRM,2022-01-06,10
616,SRM,2022-01-07,10
617,SRM,2022-01-08,10
618,SRM,2022-01-09,7
619,SRM,2022-01-10,9
620,SRM,2022-01-11,8
621,SRM,2022-01-12,7
622,SRM,2022-01-13,16
623,SRM,2022-01-14,19
624,SRM,2022-01-15,17
625,SRM,2022-01-16,14
626,SRM,2022-01-17,14
627,SRM,2022-01-18,8
628,SRM,2022-01-19,10
629,SRM,2022-01-20,10
630,SRM,2022-01-21,8
631,SRM,2022-01-22,4
632,SRM,2022-01-23,6
633,SRM,2022-01-24,5
634,SRM,2022-01-25,10
635,SRM,2022-01-26,9
636,SRM,2022-01-27,10
637,SRM,2022-01-28,12
638,SRM,2022-01-29,12
639,SRM,2022-01-30,7
640,SRM,2022-01-31,5
641,SRM,2022-02-01,9
642,SRM,2022-02-02,6
643,SRM,2022-02-03,7
644,SRM,2022-02-04,6
645,SRM,2022-02-05,7
646,SRM,2022-02-06,5
647,SRM,2022-02-07,9
648,SRM,2022-02-08,9
649,SRM,2022-02-09,4
650,SRM,2022-02-10,6
651,SRM,2022-02-11,6
652,SRM,2022-02-12,4
653,SRM,2022-02-13,7
654,SRM,2022-02-15,2
655,SRM,2022-02-16,2
656,SRM,2022-02-17,4
657,SRM,2022-02-18,5
658,SRM,2022-02-19,2
659,SRM,2022-02-20,2
660,SRM,2022-02-21,1
661,SRM,2022-02-22,2
662,SRM,2022-02-23,3
663,SRM,2022-02-24,3
664,SRM,2022-02-25,3
665,SRM,2022-02-26,3
666,SRM,2022-02-27,2
667,SRM,2022-02-28,2
668,SRM,2022-03-01,4
669,SRM,2022-03-02,3
670,SRM,2022-03-03,1
671,SRM,2022-03-04,2
672,SRM,2022-03-05,4
673,SRM,2022-03-06,6
674,SRM,2022-03-07,2
675,SRM,2022-03-08,1
676,SRM,2022-03-09,1
677,SRM,2022-03-10,4
678,SRM,2022-03-11,5
679,USDC,2022-02-04,1
680,USDC,2022-02-09,1
681,mSOL,2021-12-21,112
682,mSOL,2021-12-22,129
683,mSOL,2021-12-23,66
684,mSOL,2021-12-24,86
685,mSOL,2021-12-25,99
686,mSOL,2021-12-26,62
687,mSOL,2021-12-27,8
688,mSOL,2021-12-28,11
689,mSOL,2021-12-31,15
690,mSOL,2022-01-01,2
691,mSOL,2022-01-02,20
692,mSOL,2022-01-03,154
693,mSOL,2022-01-04,1
694,mSOL,2022-01-05,79
695,mSOL,2022-01-06,68
696,mSOL,2022-01-07,56
697,mSOL,2022-01-08,32
698,mSOL,2022-01-09,35
699,mSOL,2022-01-10,37
700,mSOL,2022-01-11,29
701,mSOL,2022-01-12,39
702,mSOL,2022-01-13,43
703,mSOL,2022-01-14,64
704,mSOL,2022-01-15,44
705,mSOL,2022-01-16,32
706,mSOL,2022-01-17,60
707,mSOL,2022-01-18,41
708,mSOL,2022-01-19,28
709,mSOL,2022-01-20,30
710,mSOL,2022-01-21,29
711,mSOL,2022-01-22,10
712,mSOL,2022-01-23,15
713,mSOL,2022-01-24,18
714,mSOL,2022-01-25,16
715,mSOL,2022-01-26,26
716,mSOL,2022-01-27,27
717,mSOL,2022-01-28,35
718,mSOL,2022-01-29,12
719,mSOL,2022-01-30,16
720,mSOL,2022-01-31,13
721,mSOL,2022-02-01,10
722,mSOL,2022-02-02,17
723,mSOL,2022-02-03,14
724,mSOL,2022-02-04,20
725,mSOL,2022-02-05,17
726,mSOL,2022-02-06,17
727,mSOL,2022-02-07,7
728,mSOL,2022-02-08,6
729,mSOL,2022-02-09,14
730,mSOL,2022-02-10,10
731,mSOL,2022-02-11,11
732,mSOL,2022-02-12,6
733,mSOL,2022-02-13,8
734,mSOL,2022-02-14,5
735,mSOL,2022-02-15,12
736,mSOL,2022-02-16,8
737,mSOL,2022-02-17,15
738,mSOL,2022-02-18,11
739,mSOL,2022-02-19,11
740,mSOL,2022-02-20,6
741,mSOL,2022-02-21,5
742,mSOL,2022-02-22,5
743,mSOL,2022-02-23,3
744,mSOL,2022-02-24,9
745,mSOL,2022-02-25,11
746,mSOL,2022-02-26,8
747,mSOL,2022-02-27,1
748,mSOL,2022-02-28,3
749,mSOL,2022-03-01,6
750,mSOL,2022-03-02,7
751,mSOL,2022-03-03,7
752,mSOL,2022-03-04,5
753,mSOL,2022-03-05,6
754,mSOL,2022-03-06,6
755,mSOL,2022-03-07,5
756,mSOL,2022-03-08,3
757,mSOL,2022-03-09,6
758,mSOL,2022-03-10,8
759,mSOL,2022-03-11,7
760,mSOL,2022-03-12,5
761,mSOL,2022-03-13,4
762,mSOL,2022-03-14,4
763,mSOL,2022-03-15,7
764,scnSOL,2021-12-29,80
765,scnSOL,2021-12-30,172
766,scnSOL,2021-12-31,2
767,scnSOL,2022-01-03,1
768,scnSOL,2022-01-07,18
769,scnSOL,2022-01-08,2
770,scnSOL,2022-01-10,16
771,scnSOL,2022-01-11,45
772,scnSOL,2022-01-12,26
773,scnSOL,2022-01-13,40
774,scnSOL,2022-01-14,54
775,scnSOL,2022-01-17,1
776,scnSOL,2022-01-18,1
777,scnSOL,2022-01-19,1
778,scnSOL,2022-01-21,2
779,scnSOL,2022-01-26,1
780,scnSOL,2022-01-28,19
781,scnSOL,2022-01-29,14
782,scnSOL,2022-01-30,19
783,scnSOL,2022-01-31,7
784,scnSOL,2022-02-01,13
785,scnSOL,2022-02-02,7
786,scnSOL,2022-02-03,13
787,scnSOL,2022-02-04,8
788,scnSOL,2022-02-05,11
789,scnSOL,2022-02-06,8
790,scnSOL,2022-02-07,5
791,scnSOL,2022-02-08,8
792,scnSOL,2022-02-09,3
793,scnSOL,2022-02-10,4
794,scnSOL,2022-02-11,8
795,scnSOL,2022-02-12,6
796,scnSOL,2022-02-13,4
797,scnSOL,2022-02-14,1
798,scnSOL,2022-02-15,5
799,scnSOL,2022-02-16,4
800,scnSOL,2022-02-17,4
801,scnSOL,2022-02-18,5
802,scnSOL,2022-02-19,4
803,scnSOL,2022-02-20,2
804,scnSOL,2022-02-21,1
805,scnSOL,2022-02-22,1
806,scnSOL,2022-02-23,4
807,scnSOL,2022-02-24,2
808,scnSOL,2022-02-25,4
809,scnSOL,2022-02-26,2
810,scnSOL,2022-02-28,2
811,scnSOL,2022-03-01,2
812,scnSOL,2022-03-02,3
813,scnSOL,2022-03-03,1
814,scnSOL,2022-03-06,6
815,scnSOL,2022-03-08,3
816,scnSOL,2022-03-10,2
817,scnSOL,2022-03-12,1
